,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0385349947,Knopf,The chief operating officer of Facebook urges women to pursue their careers without ambivalence.,LEAN IN,Sheryl Sandberg with Nell Scovell
1,2,0,0,147670354X,Howard Books,Behind the scenes at the A&E show “Duck Dynasty.”,DUCK COMMANDERS,Willie and Korie Robertson with Mark Schlabach
2,3,0,0,0770436730,Crown Business,Five tips for achieving positivity.,BEFORE HAPPINESS,Shawn Achor
3,4,0,0,1455574090,Business Plus,"A vision for linking  social responsibility and business practices, from the founder of the travel company G Adventures.",LOOPTAIL,Bruce Poon Tip
4,5,0,0,0071818359,McGraw-Hill,"Five skills that help people innovate, make a difference and garner attention for their work.",GREAT WORK,David Sturt
5,6,0,0,0770437494,Crown Business,"The founders of Honest Tea tell the story of how they created their business, including lessons for those who would follow in their path. With illustrations by Sungyoon Choi.",MISSION IN A BOTTLE,Seth Goldman and Barry Nalebuff
6,7,0,0,0385536615,Doubleday,The corruption and abuse behind big-time N.C.A.A. college football.,SYSTEM,Jeff Benedict and Armen Keteyian
7,8,0,0,1118636708,Wiley,"A plan for transforming your team into a happier, more productive group.",YOU FIRST,Liane Davey
8,9,0,0,1118758617,Wiley,An argument that debt can provide long-term benefits in the management of individual and family wealth.,VALUE OF DEBT,Thomas J Anderson
9,10,0,0,1400069289,Random House,"A Times reporter’s account of the science behind how we form, and break, habits.",THE POWER OF HABIT,Charles Duhigg
10,11,0,0,1595620257,Gallup,Three keys to being a more effective leader.,STRENGTHS-BASED LEADERSHIP,Tom Rath and Barry Conchie
11,12,0,0,159555078X,Thomas Nelson,"Debt reduction and fiscal fitness for families, by the radio talk-show host.",TOTAL MONEY MAKEOVER,Dave Ramsey
12,13,0,0,0062213024,HarperBusiness,How you get in your own way and what to do about it.,WINNING FROM WITHIN,Erica Ariel Fox
13,14,0,0,0307887898,Crown Business,An approach to creating start-up companies inspired by lean manufacturing methods.,LEAN STARTUP,Eric Ries
14,15,0,0,0307465357,Crown,Reconstructing your life so that it isn't all about work.,4-HOUR WORKWEEK,Timothy Ferriss
