,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,1455539740,Grand Central/Melcher Media,"The libretto of the Grammy-, Tony- and Pulitzer Prize-winning musical, annotated by its creator, along with backstage photos,interviews and a production history.",HAMILTON: THE REVOLUTION,Lin-Manuel Miranda and Jeremy McCarter
1,2,0,0,0399588175,Spiegel & Grau,"A memoir about growing up in South Africa by the comedian, now the host of “The Daily Show,” whose parents were in an illegal (under apartheid) interracial relationship.",BORN A CRIME,Trevor Noah
2,3,0,0,1455565385,Grand Central,"An oral history of the show, based on extensive interviews with Jon Stewart and others.",THE DAILY SHOW (THE BOOK),Chris Smith
3,4,0,0,0062571370,HarperDesign,"Filmmaking secrets, photography and artwork from “Fantastic Beasts and Where to Find Them,” written by J. K. Rowling.",THE CASE OF BEASTS,Mark Salisbury
4,5,0,0,1250058902,St. Martin's,Photographs and interviews from the creator of the blog and the book “Humans of New York.”,HUMANS OF NEW YORK: STORIES,Brandon Stanton
5,6,0,0,0062316095,Harper,How Homo sapiens became Earth’s dominant species.,SAPIENS,Yuval Noah Harari
6,7,0,0,1250038820,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by the author.",HUMANS OF NEW YORK,Brandon Stanton
7,8,0,0,1590514882,Other Press,"An account of the birth of one of the 20th century's major intellectual movements and the revolutionary thinkers who shaped it: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, and others.",AT THE EXISTENTIALIST CAFE,Sarah Bakewell
8,9,0,0,1631492225,Liveright,A concise history of ancient Rome.,SPQR,Mary Beard
9,10,0,0,0544703391,Houghton Mifflin Harcourt,"The creator of The New York Times dialect quiz provides a guide to how words are pronounced in different parts of the country. 
",SPEAKING AMERICAN,Josh Katz
