,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,081298840X,Random House,A memoir by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.,WHEN BREATH BECOMES AIR,Paul Kalanithi
1,2,0,0,0062457713,HarperOne/HarperCollins,A blogger argues that we should stop striving to be positive at all times and instead become better at handling adversity.,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson
2,3,0,0,0544854411,Houghton Mifflin Harcourt,"Recipes for the Whole30 program of nonprocessed whole foods and no grains, dairy or sugar.",THE WHOLE30 COOKBOOK,Melissa Hartwig
3,4,0,0,1939457599,Ghost Mountain,"The doctor and talk-show host promotes an eating plan that includes improving ""gut health.""",THE LOSE YOUR BELLY DIET,Travis Stork
4,5,0,0,1476733503,Scribner,An overview of the history and science of genetics by the Pulitzer Prize-winning author of “The Emperor of All Maladies.”,THE GENE,Siddhartha Mukherjee
5,6,0,0,1401948324,Hay House,"Unconventional advice about 50 foods, the symptoms and conditions they can help relieve, and recipes.",MEDICAL MEDIUM LIFE-CHANGING FOODS,Anthony William
6,7,0,0,1501100653,Atria,A 30-day plan for weight loss that includes recipes for meals and special treats.,GREEN SMOOTHIES FOR LIFE,J J Smith
7,8,0,0,0345547985,Ballantine,A 14-day plan for cutting out all sugar and using protein and fiber to slow the absorption of carbohydrates.,THE ZERO SUGAR DIET,David Zinczenko with Stephen Perrine
8,9,0,0,1501100106,Atria,Beverages of combined leafy greens and fruits are the basis for a weight loss and health plan.,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
9,10,0,0,0805095152,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,BEING MORTAL,Atul Gawande
