,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0316017930,"Back Bay/Little, Brown",Why some people succeed — it has to do with luck and opportunities as well as talent.,OUTLIERS,Malcolm Gladwell
1,2,0,0,0374533555,"Farrar, Straus & Giroux",The winner of the Nobel in economic science discusses how we make choices in business and personal life.,"THINKING, FAST AND SLOW",Daniel Kahneman
2,3,0,0,1451648545,Simon & Schuster,"A biography of the entrepreneur, based on 40 interviews with Jobs conducted over two years.",STEVE JOBS,Walter Isaacson
3,4,0,0,1118759672,Wiley,How to increase your business’s Web site profits.,CONVERT EVERY CLICK,Benji Rabhan
4,5,0,0,0316346624,Back Bay/Little Brown,How and why certain products and ideas become fads.,TIPPING POINT,Malcolm Gladwell
5,6,0,0,030794834X,Anchor,A veteran of the hotel industry offers an inside look at the not-always-savory tricks of the trade.,HEADS IN BEDS,Jacob Tomsky
6,7,0,0,1594484805,Riverhead,"A look at what truly motivates us, and how we can use that knowledge to work smarter and live better.",DRIVE,Daniel H Pink
7,8,0,0,0060731338,Harper Perennial,A maverick scholar and a journalist apply economic theory to everything from cheating sumo wrestlers to the falling crime rate.,FREAKONOMICS,Steven D Levitt and Stephen J Dubner
8,9,0,0,0312430000,Picador,A simple way to manage complexity.,THE CHECKLIST MANIFESTO,Atul Gawande
9,10,0,0,0307719227,Crown Business,How political and economic institutions lead to economic success or failure.,WHY NATIONS FAIL,Daron Acemoglu and James A Robinson
